hlj_id,model,requirement_id,field,status,old_value,new_value,fix_reason,timestamp
unknown,gpt41,req-008,tags,passed,,,,
unknown,gpt41,req-008,tags,passed,,,,
unknown,gpt41,req-030,tags,passed,,,,
unknown,gpt41,req-030,tags,passed,,,,
unknown,gpt41,req-006,tags,passed,,,,
unknown,gpt41,req-006,tags,passed,,,,
unknown,gpt41,req-001,tags,passed,,,,
unknown,gpt41,req-007,tags,passed,,,,
unknown,gpt41,req-007,tags,passed,,,,
unknown,gpt41,req-009,tags,passed,,,,
unknown,gpt41,req-009,tags,passed,,,,
unknown,gpt41,req-014,tags,passed,,,,
unknown,gpt41,req-013,tags,passed,,,,
unknown,gpt41,req-013,tags,passed,,,,
unknown,gpt41,req-025,tags,passed,,,,
unknown,gpt41,req-025,tags,passed,,,,
unknown,gpt41,req-022,tags,passed,,,,
unknown,gpt41,req-023,tags,passed,,,,
unknown,gpt41,req-023,tags,passed,,,,
unknown,gpt41,req-024,tags,passed,,,,
unknown,gpt41,req-024,tags,passed,,,,
unknown,gpt41,req-012,tags,passed,,,,
unknown,gpt41,req-012,tags,passed,,,,
unknown,gpt41,req-015,tags,passed,,,,
unknown,gpt41,req-015,tags,passed,,,,
unknown,gpt41,req-002,tags,passed,,,,
unknown,gpt41,req-005,tags,passed,,,,
unknown,gpt41,req-005,tags,passed,,,,
unknown,gpt41,req-004,tags,passed,,,,
unknown,gpt41,req-004,tags,passed,,,,
unknown,gpt41,req-003,tags,passed,,,,
unknown,gpt41,req-010,tags,passed,,,,
unknown,gpt41,req-010,tags,passed,,,,
unknown,gpt41,req-028,tags,passed,,,,
unknown,gpt41,req-028,tags,passed,,,,
unknown,gpt41,req-017,tags,passed,,,,
unknown,gpt41,req-021,tags,passed,,,,
unknown,gpt41,req-019,tags,passed,,,,
unknown,gpt41,req-026,tags,passed,,,,
unknown,gpt41,req-026,tags,passed,,,,
unknown,gpt41,req-018,tags,passed,,,,
unknown,gpt41,req-027,tags,passed,,,,
unknown,gpt41,req-027,tags,passed,,,,
unknown,gpt41,req-020,tags,passed,,,,
unknown,gpt41,req-029,tags,passed,,,,
unknown,gpt41,req-016,tags,passed,,,,
unknown,gpt41,req-011,tags,passed,,,,
unknown,gpt41,req-011,tags,passed,,,,
unknown,meta70b,req-008,tags,passed,,,,
unknown,meta70b,req-008,tags,passed,,,,
unknown,meta70b,req-030,tags,passed,,,,
unknown,meta70b,req-030,tags,passed,,,,
unknown,meta70b,req-006,tags,passed,,,,
unknown,meta70b,req-006,tags,passed,,,,
unknown,meta70b,req-001,tags,passed,,,,
unknown,meta70b,req-001,tags,passed,,,,
unknown,meta70b,req-007,tags,passed,,,,
unknown,meta70b,req-009,tags,passed,,,,
unknown,meta70b,req-009,tags,passed,,,,
unknown,meta70b,req-014,tags,passed,,,,
unknown,meta70b,req-014,tags,passed,,,,
unknown,meta70b,req-013,tags,passed,,,,
unknown,meta70b,req-013,tags,passed,,,,
unknown,meta70b,req-025,tags,passed,,,,
unknown,meta70b,req-022,tags,passed,,,,
unknown,meta70b,req-023,tags,passed,,,,
unknown,meta70b,req-023,tags,passed,,,,
unknown,meta70b,req-024,tags,passed,,,,
unknown,meta70b,req-024,tags,passed,,,,
unknown,meta70b,req-012,tags,passed,,,,
unknown,meta70b,req-012,tags,passed,,,,
unknown,meta70b,req-015,tags,passed,,,,
unknown,meta70b,req-002,tags,passed,,,,
unknown,meta70b,req-002,tags,passed,,,,
unknown,meta70b,req-005,tags,passed,,,,
unknown,meta70b,req-005,tags,passed,,,,
unknown,meta70b,req-004,tags,passed,,,,
unknown,meta70b,req-004,tags,passed,,,,
unknown,meta70b,req-003,tags,passed,,,,
unknown,meta70b,req-010,tags,passed,,,,
unknown,meta70b,req-010,tags,passed,,,,
unknown,meta70b,req-028,tags,passed,,,,
unknown,meta70b,req-017,tags,passed,,,,
unknown,meta70b,req-021,tags,passed,,,,
unknown,meta70b,req-019,tags,passed,,,,
unknown,meta70b,req-026,tags,passed,,,,
unknown,meta70b,req-026,tags,passed,,,,
unknown,meta70b,req-018,tags,passed,,,,
unknown,meta70b,req-027,tags,passed,,,,
unknown,meta70b,req-027,tags,passed,,,,
unknown,meta70b,req-020,tags,passed,,,,
unknown,meta70b,req-029,tags,passed,,,,
unknown,meta70b,req-029,tags,passed,,,,
unknown,meta70b,req-016,tags,passed,,,,
unknown,meta70b,req-011,tags,passed,,,,
unknown,meta70b,req-011,tags,passed,,,,
unknown,opus4,req-008,tags,passed,,,,
unknown,opus4,req-008,tags,passed,,,,
unknown,opus4,req-008,tags,passed,,,,
unknown,opus4,req-006,tags,passed,,,,
unknown,opus4,req-006,tags,passed,,,,
unknown,opus4,req-001,tags,passed,,,,
unknown,opus4,req-001,tags,passed,,,,
unknown,opus4,req-007,tags,passed,,,,
unknown,opus4,req-007,tags,passed,,,,
unknown,opus4,req-009,tags,passed,,,,
unknown,opus4,req-009,tags,passed,,,,
unknown,opus4,req-009,tags,passed,,,,
unknown,opus4,req-025,tags,passed,,,,
unknown,opus4,req-025,tags,passed,,,,
unknown,opus4,req-022,tags,passed,,,,
unknown,opus4,req-022,tags,passed,,,,
unknown,opus4,req-023,tags,passed,,,,
unknown,opus4,req-023,tags,passed,,,,
unknown,opus4,req-024,tags,passed,,,,
unknown,opus4,req-024,tags,passed,,,,
unknown,opus4,req-024,tags,passed,,,,
unknown,opus4,req-002,tags,passed,,,,
unknown,opus4,req-002,tags,passed,,,,
unknown,opus4,req-005,tags,passed,,,,
unknown,opus4,req-005,tags,passed,,,,
unknown,opus4,req-005,tags,passed,,,,
unknown,opus4,req-004,tags,passed,,,,
unknown,opus4,req-004,tags,passed,,,,
unknown,opus4,req-003,tags,passed,,,,
unknown,opus4,req-003,tags,passed,,,,
unknown,opus4,req-017,tags,passed,,,,
unknown,opus4,req-017,tags,passed,,,,
unknown,opus4,req-021,tags,passed,,,,
unknown,opus4,req-021,tags,passed,,,,
unknown,opus4,req-019,tags,passed,,,,
unknown,opus4,req-019,tags,passed,,,,
unknown,opus4,req-018,tags,passed,,,,
unknown,opus4,req-018,tags,passed,,,,
unknown,opus4,req-020,tags,passed,,,,
unknown,opus4,req-020,tags,passed,,,,
unknown,opus4,req-016,tags,passed,,,,
